"state","sex","age","pop","year"
"Kentucky","Male","10 to 14 years",148171,2010
"Louisiana","Male","10 to 14 years",156560,2010
"Maine","Male","10 to 14 years",42190,2010
"Maryland","Male","10 to 14 years",195516,2010
"Massachusetts","Male","10 to 14 years",210284,2010
"Michigan","Male","10 to 14 years",358061,2010
"Minnesota","Male","10 to 14 years",183642,2010
"Mississippi","Male","10 to 14 years",106313,2010
"Missouri","Male","10 to 14 years",204681,2010
"Montana","Male","10 to 14 years",31897,2010
"Nebraska","Male","10 to 14 years",62012,2010
"Nevada","Male","10 to 14 years",91301,2010
"New Hampshire","Male","10 to 14 years",46004,2010
"New Jersey","Male","10 to 14 years",302240,2010
"New Mexico","Male","10 to 14 years",70954,2010
"New York","Male","10 to 14 years",635432,2010
"North Carolina","Male","10 to 14 years",313067,2010
"North Dakota","Male","10 to 14 years",20646,2010
"Ohio","Male","10 to 14 years",402954,2010
"Oklahoma","Male","10 to 14 years",128553,2010
"Oregon","Male","10 to 14 years",123276,2010
"Pennsylvania","Male","10 to 14 years",409310,2010
"Rhode Island","Male","10 to 14 years",33280,2010
"South Carolina","Male","10 to 14 years",150917,2010
"South Dakota","Male","10 to 14 years",29140,2010
"Tennessee","Male","10 to 14 years",215443,2010
"Texas","Male","10 to 14 years",925668,2010
"Utah","Male","10 to 14 years",111443,2010
"Vermont","Male","10 to 14 years",20087,2010
"Virginia","Male","10 to 14 years",260562,2010
"Washington","Male","10 to 14 years",223346,2010
"West Virginia","Male","10 to 14 years",57706,2010
"Wisconsin","Male","10 to 14 years",194681,2010
"Wyoming","Male","10 to 14 years",18236,2010
"Puerto Rico","Male","10 to 14 years",144892,2010
"Alabama","Male","15 to 17 years",104632,2010
"Alaska","Male","15 to 17 years",17011,2010
"Arizona","Male","15 to 17 years",139383,2010
"Arkansas","Male","15 to 17 years",62107,2010
"California","Male","15 to 17 years",867657,2010
"Colorado","Male","15 to 17 years",104643,2010
"Connecticut","Male","15 to 17 years",79317,2010
"Delaware","Male","15 to 17 years",19264,2010
"District of Columbia","Male","15 to 17 years",9056,2010
"Florida","Male","15 to 17 years",376067,2010
"Georgia","Male","15 to 17 years",214667,2010
"Hawaii","Male","15 to 17 years",27018,2010
"Idaho","Male","15 to 17 years",36173,2010
"Illinois","Male","15 to 17 years",287189,2010
"Indiana","Male","15 to 17 years",143834,2010
"Iowa","Male","15 to 17 years",65187,2010
"Kansas","Male","15 to 17 years",62559,2010
"Kentucky","Male","15 to 17 years",91335,2010
"Louisiana","Male","15 to 17 years",99269,2010
"Maine","Male","15 to 17 years",28187,2010
"Maryland","Male","15 to 17 years",127680,2010
"Massachusetts","Male","15 to 17 years",136684,2010
"Michigan","Male","15 to 17 years",233199,2010
"Minnesota","Male","15 to 17 years",115638,2010
"Mississippi","Male","15 to 17 years",67234,2010
"Missouri","Male","15 to 17 years",130150,2010
"Montana","Male","15 to 17 years",21062,2010
"Nebraska","Male","15 to 17 years",39569,2010
"Nevada","Male","15 to 17 years",56843,2010
"New Hampshire","Male","15 to 17 years",29509,2010
"New Jersey","Male","15 to 17 years",193821,2010
"New Mexico","Male","15 to 17 years",46430,2010
"New York","Male","15 to 17 years",418824,2010
"North Carolina","Male","15 to 17 years",195998,2010
"North Dakota","Male","15 to 17 years",14082,2010
"Ohio","Male","15 to 17 years",256980,2010
"Oklahoma","Male","15 to 17 years",80397,2010
"Oregon","Male","15 to 17 years",78766,2010
"Pennsylvania","Male","15 to 17 years",274096,2010
"Rhode Island","Male","15 to 17 years",22321,2010
"South Carolina","Male","15 to 17 years",96466,2010
"South Dakota","Male","15 to 17 years",17825,2010
"Tennessee","Male","15 to 17 years",133742,2010
"Texas","Male","15 to 17 years",572382,2010
"Utah","Male","15 to 17 years",65642,2010
"Vermont","Male","15 to 17 years",13635,2010
"Virginia","Male","15 to 17 years",166066,2010
"Washington","Male","15 to 17 years",143420,2010
"West Virginia","Male","15 to 17 years",35986,2010
"Wisconsin","Male","15 to 17 years",125272,2010
"Wyoming","Male","15 to 17 years",11799,2010
"Puerto Rico","Male","15 to 17 years",89083,2010
"Alabama","Male","18 and 19 years",71526,2010
"Alaska","Male","18 and 19 years",11068,2010
"Arizona","Male","18 and 19 years",94765,2010
"Arkansas","Male","18 and 19 years",43312,2010
"California","Male","18 and 19 years",579103,2010
"Colorado","Male","18 and 19 years",72827,2010
"Connecticut","Male","18 and 19 years",50900,2010
"Delaware","Male","18 and 19 years",13336,2010
"District of Columbia","Male","18 and 19 years",11691,2010
"Florida","Male","18 and 19 years",258920,2010
"Georgia","Male","18 and 19 years",149217,2010
"Hawaii","Male","18 and 19 years",17705,2010
"Idaho","Male","18 and 19 years",22928,2010
"Illinois","Male","18 and 19 years",191076,2010
"Indiana","Male","18 and 19 years",99794,2010
"Iowa","Male","18 and 19 years",47017,2010
"Kansas","Male","18 and 19 years",44873,2010
"Kentucky","Male","18 and 19 years",62055,2010
"Louisiana","Male","18 and 19 years",67601,2010
"Maine","Male","18 and 19 years",19081,2010
"Maryland","Male","18 and 19 years",83540,2010
"Massachusetts","Male","18 and 19 years",100095,2010
"Michigan","Male","18 and 19 years",157372,2010
"Minnesota","Male","18 and 19 years",76334,2010
"Mississippi","Male","18 and 19 years",48465,2010
"Missouri","Male","18 and 19 years",89307,2010
"Montana","Male","18 and 19 years",14582,2010
"Nebraska","Male","18 and 19 years",27329,2010
"Nevada","Male","18 and 19 years",35110,2010
"New Hampshire","Male","18 and 19 years",19530,2010
"New Jersey","Male","18 and 19 years",116848,2010
"New Mexico","Male","18 and 19 years",31438,2010
"New York","Male","18 and 19 years",289732,2010
"North Carolina","Male","18 and 19 years",138952,2010
"North Dakota","Male","18 and 19 years",11923,2010
"Ohio","Male","18 and 19 years",171894,2010
"Oklahoma","Male","18 and 19 years",57099,2010
"Oregon","Male","18 and 19 years",52694,2010
"Pennsylvania","Male","18 and 19 years",195819,2010
"Rhode Island","Male","18 and 19 years",18249,2010
"South Carolina","Male","18 and 19 years",71969,2010
"South Dakota","Male","18 and 19 years",12492,2010
