"state","sex","age","pop","year"
"Tennessee","Female","5 to 9 years",201053,2010
"Texas","Female","5 to 9 years",903098,2010
"Utah","Female","5 to 9 years",114209,2010
"Vermont","Female","5 to 9 years",16901,2010
"Virginia","Female","5 to 9 years",242024,2010
"Washington","Female","5 to 9 years",205515,2010
"West Virginia","Female","5 to 9 years",51122,2010
"Wisconsin","Female","5 to 9 years",177790,2010
"Wyoming","Female","5 to 9 years",17436,2010
"Puerto Rico","Female","5 to 9 years",120923,2010
"Alabama","Female","10 to 14 years",153908,2010
"Alaska","Female","10 to 14 years",24651,2010
"Arizona","Female","10 to 14 years",212530,2010
"Arkansas","Female","10 to 14 years",93648,2010
"California","Female","10 to 14 years",1269404,2010
"Colorado","Female","10 to 14 years",156306,2010
"Connecticut","Female","10 to 14 years",118444,2010
"Delaware","Female","10 to 14 years",27070,2010
"District of Columbia","Female","10 to 14 years",13223,2010
"Florida","Female","10 to 14 years",547837,2010
"Georgia","Female","10 to 14 years",328411,2010
"Hawaii","Female","10 to 14 years",40405,2010
"Idaho","Female","10 to 14 years",54686,2010
"Illinois","Female","10 to 14 years",429537,2010
"Indiana","Female","10 to 14 years",218943,2010
"Iowa","Female","10 to 14 years",96648,2010
"Kansas","Female","10 to 14 years",95591,2010
"Kentucky","Female","10 to 14 years",136971,2010
"Louisiana","Female","10 to 14 years",146626,2010
"Maine","Female","10 to 14 years",40489,2010
"Maryland","Female","10 to 14 years",186551,2010
"Massachusetts","Female","10 to 14 years",197763,2010
"Michigan","Female","10 to 14 years",342056,2010
"Minnesota","Female","10 to 14 years",174117,2010
"Mississippi","Female","10 to 14 years",102762,2010
"Missouri","Female","10 to 14 years",196506,2010
"Montana","Female","10 to 14 years",29784,2010
"Nebraska","Female","10 to 14 years",60421,2010
"Nevada","Female","10 to 14 years",86780,2010
"New Hampshire","Female","10 to 14 years",41409,2010
"New Jersey","Female","10 to 14 years",286125,2010
"New Mexico","Female","10 to 14 years",68836,2010
"New York","Female","10 to 14 years",604133,2010
"North Carolina","Female","10 to 14 years",303384,2010
"North Dakota","Female","10 to 14 years",19514,2010
"Ohio","Female","10 to 14 years",380888,2010
"Oklahoma","Female","10 to 14 years",119551,2010
"Oregon","Female","10 to 14 years",116728,2010
"Pennsylvania","Female","10 to 14 years",392671,2010
"Rhode Island","Female","10 to 14 years",32539,2010
"South Carolina","Female","10 to 14 years",145075,2010
"South Dakota","Female","10 to 14 years",26802,2010
"Tennessee","Female","10 to 14 years",201253,2010
"Texas","Female","10 to 14 years",886252,2010
"Utah","Female","10 to 14 years",105191,2010
"Vermont","Female","10 to 14 years",18946,2010
"Virginia","Female","10 to 14 years",252360,2010
"Washington","Female","10 to 14 years",212403,2010
"West Virginia","Female","10 to 14 years",54089,2010
"Wisconsin","Female","10 to 14 years",186970,2010
"Wyoming","Female","10 to 14 years",16654,2010
"Puerto Rico","Female","10 to 14 years",141380,2010
"Alabama","Female","15 to 17 years",97424,2010
"Alaska","Female","15 to 17 years",16287,2010
"Arizona","Female","15 to 17 years",130669,2010
"Arkansas","Female","15 to 17 years",58758,2010
"California","Female","15 to 17 years",820136,2010
"Colorado","Female","15 to 17 years",97726,2010
"Connecticut","Female","15 to 17 years",75030,2010
"Delaware","Female","15 to 17 years",17807,2010
"District of Columbia","Female","15 to 17 years",8844,2010
"Florida","Female","15 to 17 years",354607,2010
"Georgia","Female","15 to 17 years",205341,2010
"Hawaii","Female","15 to 17 years",25497,2010
"Idaho","Female","15 to 17 years",33480,2010
"Illinois","Female","15 to 17 years",273156,2010
"Indiana","Female","15 to 17 years",136157,2010
"Iowa","Female","15 to 17 years",62468,2010
"Kansas","Female","15 to 17 years",58981,2010
"Kentucky","Female","15 to 17 years",85392,2010
"Louisiana","Female","15 to 17 years",94482,2010
"Maine","Female","15 to 17 years",26558,2010
"Maryland","Female","15 to 17 years",121572,2010
"Massachusetts","Female","15 to 17 years",129410,2010
"Michigan","Female","15 to 17 years",220197,2010
"Minnesota","Female","15 to 17 years",110043,2010
"Mississippi","Female","15 to 17 years",66028,2010
"Missouri","Female","15 to 17 years",124001,2010
"Montana","Female","15 to 17 years",20199,2010
"Nebraska","Female","15 to 17 years",37587,2010
"Nevada","Female","15 to 17 years",53307,2010
"New Hampshire","Female","15 to 17 years",27661,2010
"New Jersey","Female","15 to 17 years",183359,2010
"New Mexico","Female","15 to 17 years",44020,2010
"New York","Female","15 to 17 years",396813,2010
"North Carolina","Female","15 to 17 years",185246,2010
"North Dakota","Female","15 to 17 years",12579,2010
"Ohio","Female","15 to 17 years",243945,2010
"Oklahoma","Female","15 to 17 years",75403,2010
"Oregon","Female","15 to 17 years",74492,2010
"Pennsylvania","Female","15 to 17 years",258125,2010
"Rhode Island","Female","15 to 17 years",21144,2010
"South Carolina","Female","15 to 17 years",91782,2010
"South Dakota","Female","15 to 17 years",16771,2010
"Tennessee","Female","15 to 17 years",125381,2010
"Texas","Female","15 to 17 years",538350,2010
"Utah","Female","15 to 17 years",61573,2010
"Vermont","Female","15 to 17 years",12735,2010
"Virginia","Female","15 to 17 years",156909,2010
"Washington","Female","15 to 17 years",134486,2010
"West Virginia","Female","15 to 17 years",34346,2010
"Wisconsin","Female","15 to 17 years",118128,2010
"Wyoming","Female","15 to 17 years",10848,2010
"Puerto Rico","Female","15 to 17 years",85195,2010
"Alabama","Female","18 and 19 years",70512,2010
"Alaska","Female","18 and 19 years",9970,2010
"Arizona","Female","18 and 19 years",88027,2010
"Arkansas","Female","18 and 19 years",41420,2010
"California","Female","18 and 19 years",536424,2010
"Colorado","Female","18 and 19 years",65620,2010
"Connecticut","Female","18 and 19 years",47850,2010
"Delaware","Female","18 and 19 years",13734,2010
"District of Columbia","Female","18 and 19 years",14106,2010
"Florida","Female","18 and 19 years",242917,2010
"Georgia","Female","18 and 19 years",143658,2010
"Hawaii","Female","18 and 19 years",15913,2010
"Idaho","Female","18 and 19 years",23114,2010
"Illinois","Female","18 and 19 years",180287,2010
"Indiana","Female","18 and 19 years",95887,2010
"Iowa","Female","18 and 19 years",44900,2010
"Kansas","Female","18 and 19 years",40515,2010
"Kentucky","Female","18 and 19 years",59633,2010
"Louisiana","Female","18 and 19 years",68041,2010
"Maine","Female","18 and 19 years",17910,2010
"Maryland","Female","18 and 19 years",79249,2010
"Massachusetts","Female","18 and 19 years",102993,2010
"Michigan","Female","18 and 19 years",149571,2010
"Minnesota","Female","18 and 19 years",72960,2010
"Mississippi","Female","18 and 19 years",45747,2010
"Missouri","Female","18 and 19 years",86273,2010
"Montana","Female","18 and 19 years",13676,2010
"Nebraska","Female","18 and 19 years",25875,2010
"Nevada","Female","18 and 19 years",32077,2010
"New Hampshire","Female","18 and 19 years",19864,2010
"New Jersey","Female","18 and 19 years",107412,2010
"New Mexico","Female","18 and 19 years",29334,2010
"New York","Female","18 and 19 years",275700,2010
"North Carolina","Female","18 and 19 years",132463,2010
"North Dakota","Female","18 and 19 years",10804,2010
"Ohio","Female","18 and 19 years",164374,2010
"Oklahoma","Female","18 and 19 years",53620,2010
"Oregon","Female","18 and 19 years",50458,2010
"Pennsylvania","Female","18 and 19 years",192824,2010
"Rhode Island","Female","18 and 19 years",19253,2010
"South Carolina","Female","18 and 19 years",68452,2010
"South Dakota","Female","18 and 19 years",11678,2010
"Tennessee","Female","18 and 19 years",87063,2010
"Texas","Female","18 and 19 years",356419,2010
"Utah","Female","18 and 19 years",45993,2010
"Vermont","Female","18 and 19 years",10115,2010
"Virginia","Female","18 and 19 years",115934,2010
"Washington","Female","18 and 19 years",89971,2010
"West Virginia","Female","18 and 19 years",24858,2010
"Wisconsin","Female","18 and 19 years",80115,2010
"Wyoming","Female","18 and 19 years",7599,2010
"Puerto Rico","Female","18 and 19 years",57260,2010
"Alabama","Female","20 years",35458,2010
"Alaska","Female","20 years",4749,2010
"Arizona","Female","20 years",40699,2010
"Arkansas","Female","20 years",21367,2010
"California","Female","20 years",274010,2010
"Colorado","Female","20 years",32999,2010
"Connecticut","Female","20 years",24165,2010
"Delaware","Female","20 years",6820,2010
"District of Columbia","Female","20 years",6016,2010
"Florida","Female","20 years",125830,2010
"Georgia","Female","20 years",71360,2010
"Hawaii","Female","20 years",7763,2010
"Idaho","Female","20 years",10581,2010
"Illinois","Female","20 years",88594,2010
"Indiana","Female","20 years",51797,2010
"Iowa","Female","20 years",23855,2010
"Kansas","Female","20 years",19737,2010
"Kentucky","Female","20 years",31302,2010
"Louisiana","Female","20 years",35474,2010
"Maine","Female","20 years",9183,2010
"Maryland","Female","20 years",38464,2010
"Massachusetts","Female","20 years",50438,2010
"Michigan","Female","20 years",76070,2010
"Minnesota","Female","20 years",36263,2010
"Mississippi","Female","20 years",24513,2010
"Missouri","Female","20 years",44673,2010
"Montana","Female","20 years",7464,2010
"Nebraska","Female","20 years",13505,2010
"Nevada","Female","20 years",17530,2010
"New Hampshire","Female","20 years",9527,2010
"New Jersey","Female","20 years",54651,2010
"New Mexico","Female","20 years",16239,2010
"New York","Female","20 years",144604,2010
"North Carolina","Female","20 years",67571,2010
"North Dakota","Female","20 years",5892,2010
"Ohio","Female","20 years",83349,2010
"Oklahoma","Female","20 years",26852,2010
"Oregon","Female","20 years",25773,2010
"Pennsylvania","Female","20 years",96273,2010
"Rhode Island","Female","20 years",10363,2010
"South Carolina","Female","20 years",34291,2010
"South Dakota","Female","20 years",6431,2010
"Tennessee","Female","20 years",44326,2010
"Texas","Female","20 years",179431,2010
"Utah","Female","20 years",25901,2010
"Vermont","Female","20 years",5538,2010
"Virginia","Female","20 years",59539,2010
"Washington","Female","20 years",45009,2010
"West Virginia","Female","20 years",12534,2010
"Wisconsin","Female","20 years",40553,2010
"Wyoming","Female","20 years",4092,2010
"Puerto Rico","Female","20 years",31761,2010
"Alabama","Female","21 years",34907,2010
"Alaska","Female","21 years",4660,2010
"Arizona","Female","21 years",42967,2010
"Arkansas","Female","21 years",20416,2010
"California","Female","21 years",259442,2010
"Colorado","Female","21 years",31751,2010
"Connecticut","Female","21 years",22516,2010
"Delaware","Female","21 years",6718,2010
"District of Columbia","Female","21 years",4816,2010
"Florida","Female","21 years",122666,2010
"Georgia","Female","21 years",65445,2010
"Hawaii","Female","21 years",9511,2010
"Idaho","Female","21 years",10806,2010
"Illinois","Female","21 years",85407,2010
"Indiana","Female","21 years",47099,2010
"Iowa","Female","21 years",22571,2010
"Kansas","Female","21 years",22092,2010
"Kentucky","Female","21 years",28875,2010
"Louisiana","Female","21 years",33681,2010
"Maine","Female","21 years",8831,2010
"Maryland","Female","21 years",38029,2010
"Massachusetts","Female","21 years",48271,2010
"Michigan","Female","21 years",69843,2010
"Minnesota","Female","21 years",35680,2010
"Mississippi","Female","21 years",21880,2010
"Missouri","Female","21 years",41311,2010
"Montana","Female","21 years",6758,2010
"Nebraska","Female","21 years",13232,2010
"Nevada","Female","21 years",17083,2010
"New Hampshire","Female","21 years",8702,2010
"New Jersey","Female","21 years",52011,2010
"New Mexico","Female","21 years",13509,2010
"New York","Female","21 years",136772,2010
"North Carolina","Female","21 years",63683,2010
"North Dakota","Female","21 years",6729,2010
"Ohio","Female","21 years",78487,2010
"Oklahoma","Female","21 years",27676,2010
"Oregon","Female","21 years",25391,2010
"Pennsylvania","Female","21 years",89798,2010
"Rhode Island","Female","21 years",9085,2010
"South Carolina","Female","21 years",31776,2010
"South Dakota","Female","21 years",5388,2010
"Tennessee","Female","21 years",40513,2010
"Texas","Female","21 years",172333,2010
"Utah","Female","21 years",22783,2010
"Vermont","Female","21 years",4432,2010
"Virginia","Female","21 years",54199,2010
"Washington","Female","21 years",43301,2010
"West Virginia","Female","21 years",12591,2010
"Wisconsin","Female","21 years",39401,2010
"Wyoming","Female","21 years",3832,2010
"Puerto Rico","Female","21 years",28434,2010
"Alabama","Female","22 to 24 years",94515,2010
"Alaska","Female","22 to 24 years",15236,2010
"Arizona","Female","22 to 24 years",124210,2010
"Arkansas","Female","22 to 24 years",55421,2010
"California","Female","22 to 24 years",754013,2010
"Colorado","Female","22 to 24 years",100075,2010
"Connecticut","Female","22 to 24 years",60733,2010
"Delaware","Female","22 to 24 years",16568,2010
"District of Columbia","Female","22 to 24 years",19892,2010
"Florida","Female","22 to 24 years",340682,2010
"Georgia","Female","22 to 24 years",187339,2010
"Hawaii","Female","22 to 24 years",26008,2010
"Idaho","Female","22 to 24 years",31668,2010
"Illinois","Female","22 to 24 years",252784,2010
"Indiana","Female","22 to 24 years",122614,2010
"Iowa","Female","22 to 24 years",58703,2010
"Kansas","Female","22 to 24 years",58209,2010
"Kentucky","Female","22 to 24 years",81212,2010
"Louisiana","Female","22 to 24 years",95813,2010
"Maine","Female","22 to 24 years",21517,2010
"Maryland","Female","22 to 24 years",110937,2010
"Massachusetts","Female","22 to 24 years",130310,2010
"Michigan","Female","22 to 24 years",181110,2010
"Minnesota","Female","22 to 24 years",104674,2010
"Mississippi","Female","22 to 24 years",60337,2010
"Missouri","Female","22 to 24 years",118758,2010
"Montana","Female","22 to 24 years",18600,2010
"Nebraska","Female","22 to 24 years",37559,2010
"Nevada","Female","22 to 24 years",50838,2010
"New Hampshire","Female","22 to 24 years",22235,2010
"New Jersey","Female","22 to 24 years",147545,2010
"New Mexico","Female","22 to 24 years",39955,2010
"New York","Female","22 to 24 years",395784,2010
"North Carolina","Female","22 to 24 years",180877,2010
"North Dakota","Female","22 to 24 years",15429,2010
"Ohio","Female","22 to 24 years",212382,2010
"Oklahoma","Female","22 to 24 years",76953,2010
"Oregon","Female","22 to 24 years",72509,2010
"Pennsylvania","Female","22 to 24 years",229692,2010
"Rhode Island","Female","22 to 24 years",20269,2010
"South Carolina","Female","22 to 24 years",91428,2010
"South Dakota","Female","22 to 24 years",16048,2010
"Tennessee","Female","22 to 24 years",122404,2010
"Texas","Female","22 to 24 years",512750,2010
"Utah","Female","22 to 24 years",65256,2010
"Vermont","Female","22 to 24 years",11474,2010
"Virginia","Female","22 to 24 years",153654,2010
"Washington","Female","22 to 24 years",131229,2010
"West Virginia","Female","22 to 24 years",31825,2010
"Wisconsin","Female","22 to 24 years",111991,2010
"Wyoming","Female","22 to 24 years",11305,2010
"Puerto Rico","Female","22 to 24 years",73961,2010
"Alabama","Female","25 to 29 years",155944,2010
"Alaska","Female","25 to 29 years",23846,2010
"Arizona","Female","25 to 29 years",218218,2010
"Arkansas","Female","25 to 29 years",96539,2010
"California","Female","25 to 29 years",1324205,2010
"Colorado","Female","25 to 29 years",174595,2010
"Connecticut","Female","25 to 29 years",102100,2010
"Delaware","Female","25 to 29 years",29388,2010
"District of Columbia","Female","25 to 29 years",33503,2010
"Florida","Female","25 to 29 years",575387,2010
"Georgia","Female","25 to 29 years",338884,2010
"Hawaii","Female","25 to 29 years",46137,2010
"Idaho","Female","25 to 29 years",51136,2010
"Illinois","Female","25 to 29 years",449487,2010
"Indiana","Female","25 to 29 years",208520,2010
"Iowa","Female","25 to 29 years",92985,2010
"Kansas","Female","25 to 29 years",91957,2010
"Kentucky","Female","25 to 29 years",141987,2010
"Louisiana","Female","25 to 29 years",159543,2010
"Maine","Female","25 to 29 years",36156,2010
"Maryland","Female","25 to 29 years",194826,2010
"Massachusetts","Female","25 to 29 years",216496,2010
"Michigan","Female","25 to 29 years",300943,2010
"Minnesota","Female","25 to 29 years",177366,2010
"Mississippi","Female","25 to 29 years",99713,2010
"Missouri","Female","25 to 29 years",198044,2010
"Montana","Female","25 to 29 years",29224,2010
"Nebraska","Female","25 to 29 years",59294,2010
"Nevada","Female","25 to 29 years",95971,2010
"New Hampshire","Female","25 to 29 years",35317,2010
"New Jersey","Female","25 to 29 years",271672,2010
"New Mexico","Female","25 to 29 years",66789,2010
"New York","Female","25 to 29 years",686677,2010
"North Carolina","Female","25 to 29 years",307222,2010
"North Dakota","Female","25 to 29 years",20702,2010
"Ohio","Female","25 to 29 years",369737,2010
"Oklahoma","Female","25 to 29 years",124633,2010
"Oregon","Female","25 to 29 years",128618,2010
"Pennsylvania","Female","25 to 29 years",384082,2010
"Rhode Island","Female","25 to 29 years",33328,2010
"South Carolina","Female","25 to 29 years",151098,2010
"South Dakota","Female","25 to 29 years",25493,2010
"Tennessee","Female","25 to 29 years",211833,2010
"Texas","Female","25 to 29 years",886042,2010
"Utah","Female","25 to 29 years",110089,2010
"Vermont","Female","25 to 29 years",17014,2010
"Virginia","Female","25 to 29 years",270016,2010
"Washington","Female","25 to 29 years",229722,2010
"West Virginia","Female","25 to 29 years",55172,2010
"Wisconsin","Female","25 to 29 years",174932,2010
"Wyoming","Female","25 to 29 years",18482,2010
"Puerto Rico","Female","25 to 29 years",132318,2010
"Alabama","Female","30 to 34 years",147535,2010
"Alaska","Female","30 to 34 years",21167,2010
"Arizona","Female","30 to 34 years",198477,2010
"Arkansas","Female","30 to 34 years",88237,2010
"California","Female","30 to 34 years",1241299,2010
"Colorado","Female","30 to 34 years",166107,2010
"Connecticut","Female","30 to 34 years",103675,2010
"Delaware","Female","30 to 34 years",26676,2010
"District of Columbia","Female","30 to 34 years",26519,2010
"Florida","Female","30 to 34 years",545987,2010
"Georgia","Female","30 to 34 years",330513,2010
"Hawaii","Female","30 to 34 years",41034,2010
"Idaho","Female","30 to 34 years",47322,2010
"Illinois","Female","30 to 34 years",425067,2010
"Indiana","Female","30 to 34 years",198918,2010
"Iowa","Female","30 to 34 years",88140,2010
"Kansas","Female","30 to 34 years",85162,2010
"Kentucky","Female","30 to 34 years",136203,2010
"Louisiana","Female","30 to 34 years",137654,2010
"Maine","Female","30 to 34 years",36352,2010
"Maryland","Female","30 to 34 years",183773,2010
"Massachusetts","Female","30 to 34 years",203127,2010
"Michigan","Female","30 to 34 years",293859,2010
"Minnesota","Female","30 to 34 years",163261,2010
"Mississippi","Female","30 to 34 years",93104,2010
"Missouri","Female","30 to 34 years",180601,2010
"Montana","Female","30 to 34 years",26700,2010
"Nebraska","Female","30 to 34 years",56101,2010
"Nevada","Female","30 to 34 years",89734,2010
"New Hampshire","Female","30 to 34 years",36705,2010
"New Jersey","Female","30 to 34 years",278066,2010
"New Mexico","Female","30 to 34 years",59689,2010
"New York","Female","30 to 34 years",635922,2010
"North Carolina","Female","30 to 34 years",310201,2010
"North Dakota","Female","30 to 34 years",18418,2010
"Ohio","Female","30 to 34 years",341280,2010
"Oklahoma","Female","30 to 34 years",112468,2010
"Oregon","Female","30 to 34 years",122525,2010
"Pennsylvania","Female","30 to 34 years",357106,2010
"Rhode Island","Female","30 to 34 years",30825,2010
"South Carolina","Female","30 to 34 years",140387,2010
"South Dakota","Female","30 to 34 years",22786,2010
"Tennessee","Female","30 to 34 years",200811,2010
"Texas","Female","30 to 34 years",848766,2010
"Utah","Female","30 to 34 years",97623,2010
"Vermont","Female","30 to 34 years",17253,2010
"Virginia","Female","30 to 34 years",256610,2010
"Washington","Female","30 to 34 years",212182,2010
"West Virginia","Female","30 to 34 years",54322,2010
"Wisconsin","Female","30 to 34 years",168541,2010
"Wyoming","Female","30 to 34 years",16213,2010
"Puerto Rico","Female","30 to 34 years",127381,2010
"Alabama","Female","35 to 39 years",158203,2010
"Alaska","Female","35 to 39 years",21734,2010
"Arizona","Female","35 to 39 years",206507,2010
"Arkansas","Female","35 to 39 years",92521,2010
"California","Female","35 to 39 years",1311223,2010
"Colorado","Female","35 to 39 years",171330,2010
"Connecticut","Female","35 to 39 years",123293,2010
"Delaware","Female","35 to 39 years",30051,2010
"District of Columbia","Female","35 to 39 years",21817,2010
"Florida","Female","35 to 39 years",605657,2010
"Georgia","Female","35 to 39 years",359739,2010
"Hawaii","Female","35 to 39 years",43008,2010
"Idaho","Female","35 to 39 years",47076,2010
"Illinois","Female","35 to 39 years",435816,2010
"Indiana","Female","35 to 39 years",209426,2010
"Iowa","Female","35 to 39 years",91516,2010
"Kansas","Female","35 to 39 years",86754,2010
"Kentucky","Female","35 to 39 years",144635,2010
"Louisiana","Female","35 to 39 years",139867,2010
"Maine","Female","35 to 39 years",42969,2010
"Maryland","Female","35 to 39 years",205853,2010
"Massachusetts","Female","35 to 39 years",224111,2010
"Michigan","Female","35 to 39 years",329139,2010
"Minnesota","Female","35 to 39 years",169287,2010
"Mississippi","Female","35 to 39 years",94792,2010
"Missouri","Female","35 to 39 years",188730,2010
"Montana","Female","35 to 39 years",26718,2010
"Nebraska","Female","35 to 39 years",54077,2010
"Nevada","Female","35 to 39 years",94570,2010
"New Hampshire","Female","35 to 39 years",45352,2010
"New Jersey","Female","35 to 39 years",315698,2010
"New Mexico","Female","35 to 39 years",62814,2010
"New York","Female","35 to 39 years",663870,2010
"North Carolina","Female","35 to 39 years",334106,2010
"North Dakota","Female","35 to 39 years",17861,2010
"Ohio","Female","35 to 39 years",377108,2010
"Oklahoma","Female","35 to 39 years",115428,2010
"Oregon","Female","35 to 39 years",125804,2010
"Pennsylvania","Female","35 to 39 years",407340,2010
"Rhode Island","Female","35 to 39 years",35180,2010
"South Carolina","Female","35 to 39 years",153191,2010
"South Dakota","Female","35 to 39 years",22285,2010
"Tennessee","Female","35 to 39 years",216590,2010
"Texas","Female","35 to 39 years",876063,2010
"Utah","Female","35 to 39 years",84755,2010
"Vermont","Female","35 to 39 years",19004,2010
"Virginia","Female","35 to 39 years",278655,2010
"Washington","Female","35 to 39 years",224282,2010
"West Virginia","Female","35 to 39 years",57755,2010
"Wisconsin","Female","35 to 39 years",177896,2010
"Wyoming","Female","35 to 39 years",15203,2010
"Puerto Rico","Female","35 to 39 years",124478,2010
"Alabama","Female","40 to 44 years",164358,2010
"Alaska","Female","40 to 44 years",24910,2010
"Arizona","Female","40 to 44 years",202300,2010
"Arkansas","Female","40 to 44 years",95495,2010
"California","Female","40 to 44 years",1313909,2010
"Colorado","Female","40 to 44 years",173746,2010
"Connecticut","Female","40 to 44 years",139569,2010
"Delaware","Female","40 to 44 years",31704,2010
"District of Columbia","Female","40 to 44 years",18427,2010
"Florida","Female","40 to 44 years",656206,2010
"Georgia","Female","40 to 44 years",361136,2010
"Hawaii","Female","40 to 44 years",45648,2010
"Idaho","Female","40 to 44 years",48263,2010
"Illinois","Female","40 to 44 years",458238,2010
"Indiana","Female","40 to 44 years",224656,2010
"Iowa","Female","40 to 44 years",96181,2010
"Kansas","Female","40 to 44 years",91185,2010
"Kentucky","Female","40 to 44 years",151741,2010
"Louisiana","Female","40 to 44 years",154908,2010
"Maine","Female","40 to 44 years",49767,2010
"Maryland","Female","40 to 44 years",226553,2010
"Massachusetts","Female","40 to 44 years",252210,2010
"Michigan","Female","40 to 44 years",353939,2010
"Minnesota","Female","40 to 44 years",185284,2010
"Mississippi","Female","40 to 44 years",102749,2010
"Missouri","Female","40 to 44 years",203754,2010
"Montana","Female","40 to 44 years",31432,2010
"Nebraska","Female","40 to 44 years",57900,2010
"Nevada","Female","40 to 44 years",91285,2010
"New Hampshire","Female","40 to 44 years",52054,2010
"New Jersey","Female","40 to 44 years",344049,2010
"New Mexico","Female","40 to 44 years",65534,2010
"New York","Female","40 to 44 years",728259,2010
"North Carolina","Female","40 to 44 years",342613,2010
"North Dakota","Female","40 to 44 years",19953,2010
"Ohio","Female","40 to 44 years",402836,2010
"Oklahoma","Female","40 to 44 years",118039,2010
"Oregon","Female","40 to 44 years",122638,2010
"Pennsylvania","Female","40 to 44 years",444977,2010
"Rhode Island","Female","40 to 44 years",39787,2010
"South Carolina","Female","40 to 44 years",158164,2010
"South Dakota","Female","40 to 44 years",25174,2010
"Tennessee","Female","40 to 44 years",224257,2010
"Texas","Female","40 to 44 years",845566,2010
"Utah","Female","40 to 44 years",72068,2010
"Vermont","Female","40 to 44 years",23473,2010
"Virginia","Female","40 to 44 years",299587,2010
"Washington","Female","40 to 44 years",232182,2010
"West Virginia","Female","40 to 44 years",63443,2010
"Wisconsin","Female","40 to 44 years",200249,2010
"Wyoming","Female","40 to 44 years",16882,2010
"Puerto Rico","Female","40 to 44 years",134887,2010
"Alabama","Female","45 to 49 years",178775,2010
"Alaska","Female","45 to 49 years",26906,2010
"Arizona","Female","45 to 49 years",212304,2010
"Arkansas","Female","45 to 49 years",103498,2010
"California","Female","45 to 49 years",1342390,2010
"Colorado","Female","45 to 49 years",187728,2010
"Connecticut","Female","45 to 49 years",149826,2010
"Delaware","Female","45 to 49 years",34397,2010
"District of Columbia","Female","45 to 49 years",19153,2010
"Florida","Female","45 to 49 years",702085,2010
"Georgia","Female","45 to 49 years",360500,2010
"Hawaii","Female","45 to 49 years",48071,2010
"Idaho","Female","45 to 49 years",52606,2010
"Illinois","Female","45 to 49 years",483506,2010
"Indiana","Female","45 to 49 years",242097,2010
"Iowa","Female","45 to 49 years",111309,2010
"Kansas","Female","45 to 49 years",104450,2010
"Kentucky","Female","45 to 49 years",164513,2010
"Louisiana","Female","45 to 49 years",166585,2010
"Maine","Female","45 to 49 years",55952,2010
"Maryland","Female","45 to 49 years",238386,2010
"Massachusetts","Female","45 to 49 years",262893,2010
"Michigan","Female","45 to 49 years",388703,2010
"Minnesota","Female","45 to 49 years",206334,2010
"Mississippi","Female","45 to 49 years",108305,2010
"Missouri","Female","45 to 49 years",227165,2010
"Montana","Female","45 to 49 years",37745,2010
"Nebraska","Female","45 to 49 years",65882,2010
"Nevada","Female","45 to 49 years",92211,2010
"New Hampshire","Female","45 to 49 years",57761,2010
"New Jersey","Female","45 to 49 years",359707,2010
"New Mexico","Female","45 to 49 years",73685,2010
"New York","Female","45 to 49 years",751922,2010
"North Carolina","Female","45 to 49 years",351393,2010
"North Dakota","Female","45 to 49 years",23968,2010
"Ohio","Female","45 to 49 years",447571,2010
"Oklahoma","Female","45 to 49 years",133743,2010
"Oregon","Female","45 to 49 years",135746,2010
"Pennsylvania","Female","45 to 49 years",495240,2010
"Rhode Island","Female","45 to 49 years",42447,2010
"South Carolina","Female","45 to 49 years",169148,2010
"South Dakota","Female","45 to 49 years",29413,2010
"Tennessee","Female","45 to 49 years",237608,2010
"Texas","Female","45 to 49 years",870266,2010
"Utah","Female","45 to 49 years",77286,2010
"Vermont","Female","45 to 49 years",26186,2010
"Virginia","Female","45 to 49 years",312463,2010
"Washington","Female","45 to 49 years",248707,2010
"West Virginia","Female","45 to 49 years",69175,2010
"Wisconsin","Female","45 to 49 years",222722,2010
"Wyoming","Female","45 to 49 years",20885,2010
"Puerto Rico","Female","45 to 49 years",132285,2010
"Alabama","Female","50 to 54 years",174038,2010
"Alaska","Female","50 to 54 years",26399,2010
"Arizona","Female","50 to 54 years",204648,2010
"Arkansas","Female","50 to 54 years",100164,2010
"California","Female","50 to 54 years",1250984,2010
"Colorado","Female","50 to 54 years",180440,2010
"Connecticut","Female","50 to 54 years",138945,2010
"Delaware","Female","50 to 54 years",32753,2010
"District of Columbia","Female","50 to 54 years",19054,2010
"Florida","Female","50 to 54 years",663687,2010
"Georgia","Female","50 to 54 years",329370,2010
"Hawaii","Female","50 to 54 years",48681,2010
"Idaho","Female","50 to 54 years",51907,2010
"Illinois","Female","50 to 54 years",460047,2010
"Indiana","Female","50 to 54 years",231358,2010
"Iowa","Female","50 to 54 years",109035,2010
"Kansas","Female","50 to 54 years",100694,2010
"Kentucky","Female","50 to 54 years",158493,2010
"Louisiana","Female","50 to 54 years",162424,2010
"Maine","Female","50 to 54 years",55603,2010
"Maryland","Female","50 to 54 years",220845,2010
"Massachusetts","Female","50 to 54 years",245086,2010
"Michigan","Female","50 to 54 years",381959,2010
"Minnesota","Female","50 to 54 years",193185,2010
"Mississippi","Female","50 to 54 years",104718,2010
"Missouri","Female","50 to 54 years",218584,2010
"Montana","Female","50 to 54 years",39307,2010
"Nebraska","Female","50 to 54 years",63895,2010
"Nevada","Female","50 to 54 years",88285,2010
"New Hampshire","Female","50 to 54 years",53945,2010
"New Jersey","Female","50 to 54 years",331306,2010
